,year,week,date,day,time_of_day,room_name,class_type,faculty,school,joint,status,degree,enrollment,class_duration,attendance,class_type_new,attendance_by_class,date-year,date-month,date-day,normalized_attendance,normalized_attendance2
161,2017,5,8/28/2017,1,0,2,0,2,17,0,4,2,424,2,181,4,2,2017,8,28,0.426886792,1
162,2017,10,10/12/2017,2,0,2,0,5,8,0,4,2,447,1,100,3,2,2017,10,12,0.223713647,0
163,2017,7,9/15/2017,0,2,2,0,5,15,0,4,2,419,1,170,4,2,2017,9,15,0.405727924,1
164,2017,7,9/14/2017,2,1,2,0,6,7,1,2,2,304,1,126,4,2,2017,9,14,0.414473684,1
165,2017,7,9/14/2017,2,0,2,0,5,8,0,4,2,447,1,108,4,2,2017,9,14,0.241610738,0
166,2017,8,9/20/2017,4,0,2,0,5,15,0,4,2,386,1,93,3,1,2017,9,20,0.240932642,0
167,2017,10,10/9/2017,1,0,2,0,5,28,0,4,2,403,1,67,3,1,2017,10,9,0.166253102,0
168,2017,8,9/18/2017,1,0,2,0,5,28,0,4,2,403,1,91,3,1,2017,9,18,0.225806452,0
169,2017,0,7/26/2017,4,1,2,0,6,12,0,4,2,381,2,117,4,2,2017,7,26,0.307086614,1
170,2017,11,10/19/2017,2,0,2,0,5,8,0,4,2,447,1,77,3,1,2017,10,19,0.172259508,0
171,2017,0,7/26/2017,4,2,2,0,5,8,0,4,2,447,1,194,4,2,2017,7,26,0.434004474,1
172,2017,8,9/20/2017,4,0,2,0,2,16,0,4,2,457,1,121,4,2,2017,9,20,0.264770241,0
173,2017,0,7/27/2017,2,0,2,0,5,15,0,4,2,419,1,165,4,2,2017,7,27,0.393794749,1
174,2017,5,8/28/2017,1,1,2,0,2,17,0,4,0,320,1,127,4,2,2017,8,28,0.396875,1
175,2017,3,8/16/2017,4,0,2,0,5,15,0,4,2,386,1,147,4,2,2017,8,16,0.380829016,1
176,2017,6,9/4/2017,1,2,2,0,5,15,0,4,2,419,1,137,4,2,2017,9,4,0.326968974,1
177,2017,7,9/15/2017,0,0,2,0,5,15,0,4,2,386,1,190,4,2,2017,9,15,0.492227979,1
178,2017,9,10/3/2017,3,1,2,0,2,16,0,4,2,459,2,93,3,1,2017,10,3,0.202614379,0
179,2017,6,9/5/2017,3,2,2,0,2,16,0,4,2,452,2,141,4,2,2017,9,5,0.311946903,1
180,2017,0,7/26/2017,4,0,2,0,2,16,0,4,2,457,1,165,4,2,2017,7,26,0.361050328,1
181,2017,0,7/26/2017,4,2,2,0,2,16,0,4,2,409,2,212,5,2,2017,7,26,0.518337408,1
182,2017,0,7/24/2017,1,0,2,0,5,28,0,4,2,403,1,130,4,2,2017,7,24,0.322580645,1
183,2017,10,10/10/2017,3,0,2,0,6,11,0,4,2,366,2,133,4,2,2017,10,10,0.363387978,1
184,2017,11,10/19/2017,2,2,2,0,5,28,0,2,2,271,1,52,3,1,2017,10,19,0.191881919,0
185,2017,0,7/27/2017,2,0,2,0,0,29,0,4,2,354,2,147,4,2,2017,7,27,0.415254237,1
186,2017,0,7/27/2017,2,2,2,0,2,16,0,4,2,409,1,170,4,2,2017,7,27,0.415647922,1
187,2017,3,8/16/2017,4,0,2,0,2,16,0,4,2,457,1,131,4,2,2017,8,16,0.286652079,0
188,2017,0,7/27/2017,2,0,2,0,5,8,0,4,2,447,1,167,4,2,2017,7,27,0.37360179,1
189,2017,7,9/15/2017,0,0,2,0,2,16,1,4,2,455,2,149,4,2,2017,9,15,0.327472527,1
190,2017,6,9/5/2017,3,2,2,0,5,8,0,4,2,381,2,159,4,2,2017,9,5,0.417322835,1
191,2017,0,7/26/2017,4,0,2,0,5,15,0,4,2,386,1,136,4,2,2017,7,26,0.352331606,1
192,2017,0,7/24/2017,1,2,2,0,2,16,0,4,2,457,2,201,5,2,2017,7,24,0.439824945,1
193,2017,0,7/28/2017,0,2,2,0,5,15,0,4,2,419,1,144,4,2,2017,7,28,0.343675418,1
194,2017,0,7/28/2017,0,0,2,0,5,15,0,4,2,386,1,102,4,2,2017,7,28,0.264248705,0
195,2017,4,8/24/2017,2,2,2,0,2,16,0,4,2,409,1,161,4,2,2017,8,24,0.393643032,1
196,2017,7,9/11/2017,1,2,2,0,5,15,0,4,2,419,1,124,4,2,2017,9,11,0.295942721,0
197,2017,0,7/27/2017,2,1,2,0,6,7,1,2,2,304,1,129,4,2,2017,7,27,0.424342105,1
198,2017,4,8/21/2017,1,2,2,0,5,15,0,4,2,419,1,137,4,2,2017,8,21,0.326968974,1
199,2017,6,9/6/2017,4,3,2,0,6,22,0,4,0,62,1,54,3,1,2017,9,6,0.870967742,2
200,2017,6,9/6/2017,4,1,2,0,5,28,0,2,2,385,1,83,3,1,2017,9,6,0.215584416,0
201,2017,6,9/7/2017,2,0,2,0,5,15,0,4,2,419,1,95,3,1,2017,9,7,0.22673031,0
202,2017,5,8/29/2017,3,2,2,0,5,8,0,4,2,381,2,158,4,2,2017,8,29,0.414698163,1
203,2017,8,9/18/2017,1,1,2,0,2,17,0,4,0,320,1,84,3,1,2017,9,18,0.2625,0
204,2017,11,10/18/2017,4,0,2,0,5,15,0,4,2,386,1,55,3,1,2017,10,18,0.142487047,0
205,2017,1,8/2/2017,4,0,2,0,5,15,0,4,2,386,1,150,4,2,2017,8,2,0.388601036,1
206,2017,1,8/2/2017,4,0,2,0,2,16,0,4,2,457,1,204,5,2,2017,8,2,0.446389497,1
207,2017,7,9/11/2017,1,0,2,0,2,17,0,4,2,424,2,143,4,2,2017,9,11,0.337264151,1
208,2017,0,7/25/2017,3,2,2,0,2,16,0,4,2,452,2,223,5,2,2017,7,25,0.493362832,1
209,2017,9,10/3/2017,3,0,2,0,6,11,0,4,2,366,2,119,4,2,2017,10,3,0.325136612,1
210,2017,3,8/15/2017,3,2,2,0,5,8,0,4,2,381,2,168,4,2,2017,8,15,0.440944882,1
211,2017,6,9/5/2017,3,1,2,0,2,16,0,4,2,459,2,104,4,2,2017,9,5,0.226579521,0
212,2017,0,7/24/2017,1,1,2,0,2,16,1,4,2,447,2,154,4,2,2017,7,24,0.344519016,1
213,2017,1,7/31/2017,1,0,2,0,2,17,0,4,2,424,2,238,5,2,2017,7,31,0.561320755,1
214,2017,1,7/31/2017,1,1,2,0,2,17,0,4,0,320,1,174,4,2,2017,7,31,0.54375,1
215,2017,1,7/31/2017,1,1,2,0,2,16,1,4,2,447,2,119,4,2,2017,7,31,0.266219239,0
216,2017,0,7/25/2017,3,1,2,0,2,16,0,4,2,459,2,216,5,2,2017,7,25,0.470588235,1
217,2017,4,8/25/2017,0,2,2,0,5,15,0,4,2,419,1,97,3,1,2017,8,25,0.23150358,0
218,2017,3,8/17/2017,2,0,2,0,5,15,0,4,2,419,1,151,4,2,2017,8,17,0.360381862,1
219,2017,7,9/14/2017,2,2,2,0,2,16,0,4,2,409,1,97,3,1,2017,9,14,0.237163814,0
220,2017,5,8/31/2017,2,0,2,0,0,29,0,4,2,354,2,137,4,2,2017,8,31,0.38700565,1
221,2017,11,10/16/2017,1,1,2,0,2,16,1,4,2,447,2,53,3,1,2017,10,16,0.118568233,0
222,2017,5,8/29/2017,3,2,2,0,2,16,0,4,2,452,2,167,4,2,2017,8,29,0.369469027,1
223,2017,5,8/30/2017,4,0,2,0,2,16,0,4,2,457,1,148,4,2,2017,8,30,0.323851204,1
224,2017,8,9/18/2017,1,0,2,0,2,17,0,4,2,424,2,141,4,2,2017,9,18,0.33254717,1
225,2017,7,9/13/2017,4,1,2,0,6,12,0,4,2,381,2,61,3,1,2017,9,13,0.160104987,0
226,2017,8,9/18/2017,1,1,2,0,2,16,1,4,2,447,2,59,3,1,2017,9,18,0.131991051,0
